nome,categoria,cor_hex,cor_rgb
MidnightBlue,Azuis / Cianos,#191970,"rgb(25,25,112)"
Cornsilk,Marrons,#fff8dc,"rgb(255,248,220)"
BlanchedAlmond,Marrons,#ffebcd,"rgb(255,235,205)"
Bisque,Marrons,#ffe4c4,"rgb(255,228,196)"
NavajoWhite,Marrons,#ffdead,"rgb(255,222,173)"
Wheat,Marrons,#f5deb3,"rgb(245,222,179)"
BurlyWood,Marrons,#deb887,"rgb(222,184,135)"
Tan,Marrons,#d2b48c,"rgb(210,180,140)"
RosyBrown,Marrons,#bc8f8f,"rgb(188,143,143)"
SandyBrown,Marrons,#f4a460,"rgb(244,164,96)"
Goldenrod,Marrons,#daa520,"rgb(218,165,32)"
DarkGoldenrod,Marrons,#b8860b,"rgb(184,134,11)"
Peru,Marrons,#cd853f,"rgb(205,133,63)"
Chocolate,Marrons,#d2691e,"rgb(210,105,30)"
SaddleBrown,Marrons,#8b4513,"rgb(139,69,19)"
Sienna,Marrons,#a0522d,"rgb(160,82,45)"
Brown,Marrons,#a52a2a,"rgb(165,42,42)"
Maroon,Marrons,#800000,"rgb(128,0,0)"
White,Brancos,#ffffff,"rgb(255,255,255)"
Snow,Brancos,#fffafa,"rgb(255,250,250)"
Honeydew,Brancos,#f0fff0,"rgb(240,255,240)"
MintCream,Brancos,#f5fffa,"rgb(245,255,250)"
Azure,Brancos,#f0ffff,"rgb(240,255,255)"
AliceBlue,Brancos,#f0f8ff,"rgb(240,248,255)"
GhostWhite,Brancos,#f8f8ff,"rgb(248,248,255)"
WhiteSmoke,Brancos,#f5f5f5,"rgb(245,245,245)"
Seashell,Brancos,#fff5ee,"rgb(255,245,238)"
Beige,Brancos,#f5f5dc,"rgb(245,245,220)"
OldLace,Brancos,#fdf5e6,"rgb(253,245,230)"
FloralWhite,Brancos,#fffaf0,"rgb(255,250,240)"
Ivory,Brancos,#fffff0,"rgb(255,255,240)"
AntiqueWhite,Brancos,#faebd7,"rgb(250,235,215)"
Linen,Brancos,#faf0e6,"rgb(250,240,230)"
LavenderBlush,Brancos,#fff0f5,"rgb(255,240,245)"
MistyRose,Brancos,#ffe4e1,"rgb(255,228,225)"
Gainsboro,Cinzas,#dcdcdc,"rgb(220,220,220)"
LightGray,Cinzas,#d3d3d3,"rgb(211,211,211)"
LightGrey,Cinzas,#d3d3d3,"rgb(211,211,211)"
Silver,Cinzas,#c0c0c0,"rgb(192,192,192)"
DarkGray,Cinzas,#a9a9a9,"rgb(169,169,169)"
DarkGrey,Cinzas,#a9a9a9,"rgb(169,169,169)"
Gray,Cinzas,#808080,"rgb(128,128,128)"
Grey,Cinzas,#808080,"rgb(128,128,128)"
DimGray,Cinzas,#696969,"rgb(105,105,105)"
DimGrey,Cinzas,#696969,"rgb(105,105,105)"
LightSlateGray,Cinzas,#778899,"rgb(119,136,153)"
LightSlateGrey,Cinzas,#778899,"rgb(119,136,153)"
SlateGray,Cinzas,#708090,"rgb(112,128,144)"
SlateGrey,Cinzas,#708090,"rgb(112,128,144)"
DarkSlateGray,Cinzas,#2f4f4f,"rgb(47,79,79)"
DarkSlateGrey,Cinzas,#2f4f4f,"rgb(47,79,79)"
Black,Preto,#0,"rgb(0,0,0)"
